"","pol","tur","hrv","nor","gre","rus","spa","authorcount"
"Bereuter,Elmar",0,0,0,0,0,0,0,0
"Bergius,C.C.",0,0,0,0,0,0,0,0
"Bernard,Caroline",0,0,0,0,0,0,0,0
"Bernhardt,OskarErnst",0,0,0,0,0,0,0,0
"Berthold,Will",0,0,0,0,0,0,0,0
"Beyerlein,Gabriele",0,0,0,0,0,0,0,0
"Bieler,Manfred",0,0,0,0,1,0,0,1
"Biernath,Horst",0,0,0,0,0,0,0,0
"Binder,Luisa",0,0,0,0,0,0,0,0
"Birkefeld,Richard",0,0,0,0,0,0,0,0
"Blank-Eismann,Marie",0,0,0,0,0,0,0,0
"Blickensdörfer,Hans",0,0,0,0,0,0,0,0
"Borries,Friedrichvon",0,0,0,0,0,0,0,0
"Borsch,Frank",0,0,0,0,0,0,0,0
"Bouvier,Claire",0,0,0,0,0,0,4,4
"BôYinRâ",0,0,0,0,0,0,0,0
"Braem,Harald",0,2,0,0,0,0,2,4
"Brand,Jule",0,0,0,0,0,0,0,0
"Brandhorst,Andreas",0,0,0,0,0,0,0,0
"Brandstetter,Alois",0,0,0,0,0,0,0,0
"Braslavsky,Emma",0,0,0,0,0,0,0,0
"Braun,Marcus",0,0,0,0,1,0,0,1
"Breinersdorfer,Fred",0,0,0,0,0,0,0,0
"Brendel,Alfred",0,0,0,0,0,0,1,1
"Brezina,Thomas",0,0,0,0,0,0,0,0
"Brežná,Irena",0,0,0,0,0,1,0,1
"Brod,Max",0,0,0,0,0,1,0,1
"Buresch,Luisa",0,0,0,0,0,0,0,0
"Buschmann,Michael",0,0,0,0,0,0,0,0
"Carels,Maeve",0,0,0,0,0,0,0,0
"Charon,Daria",0,0,0,0,0,0,0,0
"Clary-Aldringen,Alfons",0,0,0,0,0,0,0,0
"Coler,Hannah",0,0,0,0,0,0,0,0
"Corbi,Inez",0,0,0,0,0,0,0,0
"Cordonnierová,Marie",0,0,0,0,0,0,0,0
"Cristen,GabrieleMarie",0,0,0,0,0,0,0,0
"Cristen,Marie",0,0,0,0,0,0,0,0
"Cristenová,GabrieleMarie",0,0,0,0,0,0,0,0
"Cristenová,Marie",0,0,0,0,0,0,0,0
"Czernin,Monika",0,0,0,0,0,0,0,0
"Dark,Jason",0,0,0,0,0,0,0,0
"Daumann,Rudolf",0,0,0,0,0,0,0,0
"Demetz,Hanna",0,0,0,0,0,0,0,0
"Deprijck,Lucien",0,0,0,0,0,0,0,0
"Dettwiler,Monika",0,0,0,0,0,0,0,0
"Dieckmann,Guido",0,0,0,0,0,1,0,1
"Dittrich,Sabine",0,0,0,0,0,0,0,0
"Doubek,Katja",0,0,0,0,0,0,0,0
"Doyle,Virginia",0,0,0,0,0,0,0,0
"Dreer,Mirjam",0,0,0,0,0,0,0,0
"Drosten,Julia",0,0,0,0,0,0,0,0
"Dutli,Ralph",0,0,0,0,0,1,0,1
"Dyrlich,Benedikt",0,0,0,0,0,0,0,0
"Ebner-Eschenbach,Marievon",0,0,0,0,0,0,0,0
"Eckhardt,Klaus",0,0,0,0,0,0,0,0
"Eden,Jasmin",0,0,0,0,0,0,0,0
"Effenberger,FranzFerdinand",0,0,0,0,0,0,0,0
"Egger,MargarethaN.",0,0,0,0,0,0,0,0
"Ehrlich,Anna",0,0,0,0,0,0,0,0
"Eich,Günter",0,0,0,1,0,0,1,2
"Ekert-Rotholz,Alice",0,0,0,0,0,0,0,0
"Elgers,Paul",0,0,0,0,0,0,0,0
"Ellmer,Arndt",0,0,0,0,0,0,0,0
"Faktor,Jan",0,0,0,0,0,0,0,0
"Fels,Ludwig",0,0,0,0,0,0,1,1
"Fendt,Janet",0,0,0,0,0,0,0,0
"Filip,Ota",0,0,0,0,0,0,0,0
"Fischer-Rizzi,Susanne",0,0,0,0,0,0,0,0
"Flašar,MilenaMichiko",0,0,0,0,0,0,1,1
"Fleming,Kayla",0,0,0,0,0,0,0,0
"Florescu,CatalinDorian",0,0,0,0,0,1,2,3
"Forell,Frank",0,0,0,0,0,0,0,0
"Förg,Nicola",0,0,0,0,0,0,0,0
"Fricke,Lucy",0,0,0,0,0,0,0,0
"Fürnberg,Louis",0,0,0,0,0,0,0,0
"Futscher,Christian",0,0,0,0,0,0,0,0
"Gablé,Rebecca",0,0,0,0,0,0,1,1
"Gabriel,Petra",0,0,0,0,0,0,0,0
"Gatarik,Václav",0,0,0,0,0,0,0,0
"Gebhardt,Gusti",0,0,0,0,0,0,0,0
"Geltinger,Gunther",0,0,0,0,0,0,1,1
"Gerlach,Heinrich",0,0,0,0,0,0,0,0
"Germano,Susanne",0,0,0,0,0,0,0,0
"Gies,Martin",0,0,0,0,0,0,0,0
"Glan,Katjavon",0,0,0,0,0,0,0,0
"Glogger,Beat",0,0,0,0,0,0,0,0
"Göhre,Frank",0,0,0,0,0,0,0,0
"Goldstein,Barbara",0,0,0,0,0,0,1,1
"Gordian,Robert",0,0,0,0,0,0,0,0
"Grab,Hermann",0,0,0,0,0,0,0,0
"Gralle,Albrecht",0,0,0,0,0,0,0,0
"Greiner,Margret",0,0,0,0,0,0,0,0
"Gringel,Dana",0,0,0,0,0,0,0,0
"Gruber,Andreas",0,3,0,0,0,2,0,5
"Grünfeld,Max",0,0,0,0,0,0,0,0
"Gruša,Jiří",0,0,0,0,0,0,0,0
"Gstättner,Egyd",0,0,0,0,0,0,0,0
"Günderode,Karolinevon",0,0,0,0,0,0,0,0
"Günther,JohannChristian",0,0,0,0,0,0,0,0
"Güsken,Christoph",0,0,0,0,0,0,0,0
"Hadwiger,Viktor",0,0,0,0,0,0,0,0
"Haensel,Hubert",0,0,0,0,0,0,0,0
"Hanstein,Otfridvon",0,0,0,0,0,0,0,0
"Hardebusch,Christoph",0,0,0,0,0,3,0,3
"Hauschild,Reinhard",0,0,0,0,0,0,0,0
"Hausmann,Romy",0,1,0,0,0,0,1,2
"Heib,Marina",0,0,0,0,0,0,0,0
"Hein,Mirja",0,0,0,0,0,0,0,0
"Heine,ErnstW.",0,3,0,0,6,2,2,13
"Heinzmann,Josef",0,0,0,0,0,0,0,0
"Heitmann,Tanja",0,1,0,0,0,2,0,3
"Hellmann,DianaBeate",0,0,0,0,0,0,0,0
"Hempfling,KlausFerdinand",0,0,0,0,0,0,0,0
"Henderson,Jo",0,0,0,0,0,0,0,0
