"","author","count"
"474","Eckhardt, Klaus",2
"475","Eden, Jasmin",1
"476","Edmonds, Frances",2
"477","Edschmid, Ulrike",3
"478","Effenberger, Franz Ferdinand",1
"479","Egger, Margaretha N.",1
"480","Ehrensperger, Serge",2
"481","Ehrenstein, Albert",2
"482","Ehrlich, Anna",1
"483","Ehrlich, Heinrich",1
"484","Eichel, Christine",1
"485","Eichinger, Rosemarie",1
"486","Eichner, Hans",1
"487","Eigner, Gerd-Peter",1
"488","Einstein, Carl",1
"489","Einzlkind",2
"490","Eisele, Martin",3
"491","Eisenreich, Herbert",2
"492","Ekert-Rotholz, Alice",2
"493","Elgers, Paul",1
"494","Ellert, Gerhart",2
"495","Ellmer, Arndt",2
"496","Elmbrant, Björn",1
"497","Elmiger, Dorothee",5
"498","Elsberg, Marc",4
"499","Elskamp, Max",1
"500","Engel, Georg",1
"501","Engel, Kathinka",1
"502","Engel, Leopold",1
"503","Engelmann, Bernt",2
"504","Engelmann, Philipp",1
"505","Engelmann, Ulrich",1
"506","Englisch, Andreas",2
"507","Ensafpour, Nahid",1
"508","Enskat, Fritz",1
"509","Enzensberger, Theresia",2
"510","Erath, Irmgard",2
"511","Erbes, Volker",1
"512","Erbsland, E. S.",1
"513","Erdheim, Claudia",2
"514","Erlbruch, Wolf",1
"515","Erler, Lukas",1
"516","Erler, Rainer",1
"517","Ernst, Gustav",3
"518","Ernst, Max",1
"519","Ernst, Susanna",1
"520","Eschker, Wolfgang",2
"521","Euw, Aloys von",1
"522","Evert, Roumen M.",1
"523","Ewers, H. G.",1
"524","Ewers, H.G.",1
"525","Exner, Helmut",1
"526","Fabel, Renate",1
"527","Fabian, Sandra",1
"528","Faktor, Jan",1
"529","Falb, Daniel",1
"530","Falk, Victor von",1
"531","Falkensee, Margarete von",1
"532","Fallwickl, Mareike",1
"533","Fassbinder, Helga",1
"534","Fatah, Sherko",7
"535","Federer, Heinrich",1
"536","Federico, Carla",3
"537","Fehrs, Johann Hinrich",1
"538","Feldenkirchen, Markus",1
"539","Felten, Monika",2
"540","Fendt, Janet",1
"541","Ferk, Janko",3
"542","Ferolli, Beatrice",1
"543","Feyl, Renate",1
"544","Fian, Antonio",1
"545","Fichte, Hubert",4
"546","Filip, Ota",2
"547","Finckh, Renate",1
"548","Fioretos, Aris",1
"549","Fischart, Johann",1
"550","Fischer-Rizzi, Susanne",1
"551","Fischer, Erica",3
"552","Fischer, Friedrich",1
"553","Fischer, Natalie",1
"554","Fitzgerald, Penelope",1
"555","Flake, Otto",1
"556","Fleißer, Marieluise",4
"557","Fleming, Griseldis",1
"558","Fleming, Sebastian",3
"559","Flöss, Helene",1
"560","Fohn, Julius",1
"561","Fölck, Romy",1
"562","Fontana, Anna Carlot",1
"563","Forbes, Colin",2
"564","Forell, Frank",1
"565","Foresti, Traute",1
"566","Förg, Nicola",1
"567","Forstmaier, Rosemarie",1
"568","Forte, Dieter",4
"569","Fortunas, Hede",1
"570","Fox, Katia",4
"571","Francis, H. G.",1
"572","Franckh, Pierre",1
"573","François, Louise von",1
"574","Frank, Rudolf",1
"575","Frank, Wolfgang",1
"576","Frankl, Viktor E.",2
"577","Franley, Mark",1
"578","Franz, Aisha",1
"579","Franzen, Jonathan",1
"580","Franzobel",5
"581","Franzos, Karl Emil",1
"582","Freitag, Günther",1
"583","Frensch, Michael",1
"584","Frenzel, Claudia",1
"585","Freud, Sigmund",5
"586","Freudenthaler, Laura",2
"587","Freund, Peter",1
"588","Frey, Alexander M.",1
"589","Frey, Hans-Jost",1
"590","Freysinger, Oskar",2
"591","Fried, Amelie",4
"592","Friedell, Egon",1
"593","Friedlaender, Salomo",1
"594","Friedman, Michel",1
"595","Friedrich, Anna",1
"596","Friedrich, Joachim",1
"597","Fries, Fritz Rudolf",3
"598","Fries, Jakob Friedrich",1
"599","Frisé, Adolf",2
"600","Fritsch, Gerhard",1
"601","Fritsche, Markus",1
"602","Fritz, Marianne",3
"603","Fritz, Walter Helmut",1
"604","Froemel, Werner",1
"605","Froeschel, George",1
"606","Fröhlich, Alexandra",2
"607","Frohmann, Christiane",1
"608","Frontzek, Alice",1
"609","Fuchs, Anton",1
"610","Fuchs, Signe Anita",1
"611","Fuld, Werner",1
"612","Funk, Kristin",1
"613","Funk, Mirna",1
"614","Furanshisu, H. G.",1
