"","Var1","Freq"
"417","Die Hochzeitnd",1
"418","Die Jungfrau im Lavendelnd",1
"419","Die Jungfrau von Orleans",2
"420","Die Kaiserin von Suzhou",1
"421","Die Kalte Wittib",1
"422","Die Kältezentrale",1
"423","Die KamelienInsel",1
"424","Die Kamera klickt und ich bleibe",1
"425","Die Karawane",1
"426","Die Katrin wird Soldat",1
"427","Die Kinder des Kesselflickers",1
"428","Die Kinder und Hausmärchen der Brüder Grimm",1
"429","Die Kleider der Frauen",1
"430","Die Klette",1
"431","Die Kontrakte des Kaufmanns",1
"432","Die kostbare Perle",1
"433","Die krasse Geschichte einer ungewöhnlichen Freundschaft",1
"434","Die KronosOffenbarung",1
"435","Die Kuh auf dem Dach",1
"436","Die Legende vom heiligen Trinker",1
"437","Die Lehrlinge zu Sais",1
"438","Die Leiden des jungen Werther",1
"439","Die Leiden des jungen Werthers",6
"440","Die letzte Freiheit",1
"441","Die letzte Weltn",1
"442","Die Liebesverschwörung",1
"443","Die linke Hand des Papstes",1
"444","Die Macht der Gewohnheit",1
"445","Die MaoriPrinzessin",1
"446","Die Marquise von O",1
"447","Die Maske des Jaguar Kriegers",1
"448","Die Meistersinger von Nürnbergn",1
"449","Die Mitte fühlt sich leicht an",1
"450","Die Morgenlandfahrt",2
"451","Die Mörsinger Pappel",1
"452","Die Mumins für Erwachsene",1
"453","Die Nacht aus Blei",1
"454","Die Nacht die Lichter",2
"455","Die Nacht von Lissabon",1
"456","Die Nächte der langen Messer",1
"457","Die Nachtigall und der Krieg",1
"458","Die Narrenburg",1
"459","Die Nibelungen",1
"460","Die Notizen oder von der unvoreiligen Versöhnung",1
"461","Die österreichische Hure",1
"462","Die Papierfabrik",1
"463","Die Perlenschnur",1
"464","Die Pforte der Einweihungn",1
"465","Die Physiker",1
"466","Die Physikertoroman ladin",1
"467","Die Physikertoroman surselv",1
"468","Die Principessa",1
"469","Die Prüfung",1
"470","Die Ratten",1
"471","Die Rechtlosen",1
"472","Die Reise ins elektrische Schloss",1
"473","Die Rose von Avignon",1
"474","Die Rose von Kairwan",1
"475","Die RotwengelSaga",1
"476","Die Ruhe des Stärkeren",1
"477","Die Sagen der Trinkhalle BadenBaden",1
"478","Die Schmetterlingsinsel",1
"479","Die schönsten Märchen aus 1001 Nacht",1
"480","Die schönsten Sagen des klassischen Altertums",1
"481","Die Schweizerreise",1
"482","Die Seelenfängerin",1
"483","Die silberne Ampel",1
"484","Die Spur des Löwen",1
"485","Die Stille zwischen null und eins",1
"486","Die Stimme hinter dem Vorhang",1
"487","Die Stunde der Erben",1
"488","Die Sünderin",1
"489","Die Süße des Lebens",1
"490","Die Täuschungrk",1
"491","Die Therapie",1
"492","Die Tochter der Wüstend",1
"493","Die Tochter des Buchhändlersnd",1
"494","Die Tochter des Salzsieders",1
"495","Die ungleichen Schwestern",1
"496","Die unsichtbare Sammlung",2
"497","Die Vergiftung",1
"498","Die verlorene Ehre der Katharina Blum oder wie Gewalt entstehen und wohin sie führen kann",3
"499","Die Vernichteten",1
"500","Die Verratenen",1
"501","Die Verschworenen",1
"502","Die Verwandlung",6
"503","Die Vipern von Montesecco",1
"504","Die Waffen nieder",1
"505","Die Wahrheit und andere Lügen",1
"506","Die Weise von Liebe und Tod des Cornets Christoph Rilke",1
"507","Die weisse Frau",1
"508","Die weiße Frau im Baum",1
"509","Die Welt im Frühling verlassen",1
"510","Die Welt ist groß und Rettung lauert überall",1
"511","Die Welt ist groß und Rettung lauert überallrk",1
"512","Die Werkstatt",1
"513","Die Zelle",1
"514","Die zoologische GartenLotterie",1
"515","Diesen Tag Sarajevo diesen Tag",2
"516","Dojnaa",1
"517","Don Juan",1
"518","Don Juan de La Mancha oder die Erziehung der Lust",1
"519","Don Juan oder die Liebe zur Geometrie",1
"520","Don Juan und Faust",1
"521","Dort wo der Berg brennt",1
"522","Dörte Hansen Altes Land",1
"523","Drachentöter",1
"524","Drei Brüder",1
"525","Drei Kameraden",1
"526","Drei Männer im Schnee",1
"527","Drei unvergessliche Schüsse",1
"528","Du bist mein Sonnenschein",1
"529","Du schaffst das",1
"530","Duineser Elegien",1
"531","Dürre Jahre",1
"532","E T A Hoffmann Signor Formica",1
"533","Eduard Mörike Das Stuttgarter Hutzelmännlein",1
"534","Ein Brudermord",1
"535","Ein Iglu für Zwei",1
"536","Ein Jahr aus der Nacht gesprochen",1
"537","Ein Kreuz in Sibirien",1
"538","Ein Kriegsendend",1
"539","Ein liebender Mann",1
"540","Ein lieber Gruß",1
"541","Ein Ort für Zufälle",1
"542","Ein Regenschirm für diesen Tag",1
"543","Ein Spiel das die Götter sich leisten",1
