"","author","language"
"23080","Brockmann,Reiner","est"
"23150","Wagner,HeikeK.","est"
"23161","Mara,Ulrike","ger"
"23171","Dutli-Rutishauser,Maria","slo"
"23198","Schoenle,Annemarie","slo"
"23295","Christiansen-Simons,Momme","fry"
"23373","Chobot,Manfred","ger"
"23381","Biberger,ErichLudwig","ger"
"23495","Nádas,Péter","slo"
"23548","Marschner,Rosemarie","est"
"23579","Wintersteiner,Marianne","est"
"23593","Hassel,Mike","rum"
"23610","Federmair,Leopold","ger"
"23749","Eners,W.I.","ger"
"23775","Blauhut,Holger","ger"
"23830","Ebert,Holger","est"
"23878","Busch,Gertrud","slo"
"24004","Grüneberger,Ralph","ger"
"24024","Geerk,Frank","rum"
"24127","Cordonnier,Marie","lit"
"24277","Boura,Ewa","ger"
"24341","Grüneberger,Ralph","ger"
"24344","Hein,ManfredPeter","ger"
"24373","Schaffer,Ulrich","ger"
"24450","Schweiger,Wolfgang","est"
"24453","Vegesack,Siegfriedvon","lav"
"24461","Déry,Tibor","ger"
"24463","Fernau,Joachim","kor"
"24517","Schweiger,Wolfgang","est"
"24581","Sad,Yaʿaqov","heb"
"24587","Cordonnier,Marie","lit"
"24634","Cordonnier,Marie","lit"
"24653","Kropp,Jürgen","ger"
"24667","Burgstedt,Eva","est"
"24693","Biberger,ErichLudwig","ger"
"24810","Heinrich,RichardW.","ger"
"24860","PelzvonFelinau,Josef","est"
"24861","PelzvonFelinau,Josef","slo"
"24864","Müller,FriedrichMax","kor"
"24877","Bach,Leonie","lit"
"24887","Cordes-Vollert,Doris","ger"
"25096","Kramer,Theodor","ger"
"25177","Wawrzyniak,Zdzisław","ger"
"25255","Stephan-Kühn,Freya","ger"
"25326","Thüminger,Rosmarie","cat"
"25460","Abraham,FiloM.","heb"
"25476","Kipphardt,Heinar","ara"
"25543","Faschon,Susanne","ger"
"25583","Arens,Annegrit","lav"
"25675","Steinweg,Marcus","ger"
"25852","Rosenfeld,Ruth","ger"
"25862","Bänsch,Dieter","ger"
"25876","Krause,Barbara","est"
"25926","Weber,CarlMariavon","ger"
"26016","Müller,Gert","ger"
"26018","Aichelburg,Wolfvon","ger"
"26231","Rommel,Alberta","est"
"26279","Kien,Peter","heb"
"26355","Soumagne,Ludwig","ger"
"26392","DelleGrazie,MarieEugenie","est"
"26426","Telek,Nazif","ger"
"26447","Söllner,Werner","rum"
"26472","Köttner-Benigni,Klara","ger"
"26548","Sela,Petra","ger"
"26555","Fiebig,Gerald","ger"
"26564","Neumann,Walter","ger"
"26612","Nielsen,FredericW.","ger"
"26623","Höfler,PollyMaria","lav"
"26626","Meinshausen,R.Hermann","lav"
"26675","Roosen,Samantha","lav"
"26708","Mirtse,Agnes","ger"
"26713","BeckerAlvarez,Nora","ger"
"26801","Döry,Ruth","heb"
"26846","Roosen,Samantha","lav"
"26897","Raid,Robert","est"
"27030","Weick,Hermann","lit"
"27032","Fechenbach,Felix","heb"
"27044","Dreiske,Hans-Herbert","ger"
"27046","Holesch,Ditha","lav"
"27079","Mondfeld,Wolframzu","est"
