"","place","match","place_clean.x","place.y","group.y","place_clean.y","distance","Freq","latitude","longitude"
"185","København",398,"Kobenhavn","Kobenhavn",398,"Kobenhavn",1,357,55.6867243,12.5700724
"186","København",398,"Kobenhavn","Købnhavn",398,"Kobnhavn",1,357,55.6867243,12.5700724
"187","København",398,"Kobenhavn","Køvenhavn",398,"Kovenhavn",1,357,55.6867243,12.5700724
"188","Købnhavn",398,"Kobnhavn","København",398,"Kobenhavn",1,2,NA,NA
"189","Kopenhagen",184,"Kopenhagen","Copenhagen",184,"Copenhagen",1,11,55.6867243,12.5700724
"190","Korntal",401,"Korntal","Korntalʹ",401,"Korntal'",1,11,48.8296536,9.1233501
"191","Korntalʹ",401,"Korntal'","Korntal",401,"Korntal",1,1,48.8296536,9.1233501
"192","Kostelmí Vydří",403,"Kostelmi Vydri","Kostelní Vydří",403,"Kostelni Vydri",1,1,NA,NA
"193","Kostelní Vydří",403,"Kostelni Vydri","Kostelmí Vydří",403,"Kostelmi Vydri",1,43,49.1060609,15.4216563
"194","Køvenhavn",398,"Kovenhavn","København",398,"Kobenhavn",1,1,NA,NA
"195","Krakow",406,"Krakow","Kraków",406,"Krakow",1,2,50.0619474,19.9368564
"196","Kraków",406,"Krakow","Krakow",406,"Krakow",1,213,50.0619474,19.9368564
"197","Kraljelo",407,"Kraljelo","Kraljevo",407,"Kraljevo",1,1,NA,NA
"198","Kraljevo",407,"Kraljevo","Kraljelo",407,"Kraljelo",1,1,43.7234519,20.6870792
"199","Kyiv",416,"Kyiv","Kyïv",416,"Kyiv",1,2,50.4500336,30.5241361
"200","Kyïv",416,"Kyiv","Kyiv",416,"Kyiv",1,3,50.4500336,30.5241361
"201","L viv",419,"L viv","L vov",419,"L vov",1,6,1.3154259,103.840372198106
"202","L viv",419,"L viv","Lʹviv",420,"L'viv",1,6,1.3154259,103.840372198106
"203","L vov",419,"L vov","L viv",419,"L viv",1,1,43.3214324,132.3591215
"204","Lʹviv",420,"L'viv","L viv",419,"L viv",1,14,49.841952,24.0315921
"205","La Habana",422,"La Habana","LaHabana",422,"LaHabana",1,4,23.135305,-82.3589631
"206","La Spezia",423,"La Spezia","LaSpezia",423,"LaSpezia",1,1,44.23836595,9.69123263454754
"207","La Tour d Aigues",424,"La Tour d Aigues","LaTour d Aigues",424,"LaTour d Aigues",1,4,43.724804,5.5477306
"208","LaHabana",422,"LaHabana","La Habana",422,"La Habana",1,2,-8.9269743,-76.1132666
"209","Laon",286,"Laon","Lyon",286,"Lyon",1,1,49.564665,3.620686
"210","LaSpezia",423,"LaSpezia","La Spezia",423,"La Spezia",1,3,51.2231015,18.5625478
"211","LaTour d Aigues",424,"LaTour d Aigues","La Tour d Aigues",424,"La Tour d Aigues",1,4,44.8803799,2.9797465
"212","Le Chambon sur Lignon",431,"Le Chambon sur Lignon","LeChambon sur Lignon",431,"LeChambon sur Lignon",1,4,45.060809,4.302941
"213","LeChambon sur Lignon",431,"LeChambon sur Lignon","Le Chambon sur Lignon",431,"Le Chambon sur Lignon",1,1,NA,NA
"214","Leiden",438,"Leiden","Weiden",727,"Weiden",1,2,52.1518157,4.48110886662043
"215","Libeznice",448,"Libeznice","Líbeznice",448,"Libeznice",1,1,50.1921305,14.4938986
"216","Líbeznice",448,"Libeznice","Libeznice",448,"Libeznice",1,13,50.1921305,14.4938986
"217","Lisboa",450,"Lisboa","Lisbõa",450,"Lisboa",1,251,38.7077507,-9.1365919
"218","Lisbõa",450,"Lisboa","Lisboa",450,"Lisboa",1,1,38.7077507,-9.1365919
"219","Los Angeles",462,"Los Angeles","LosAngeles",462,"LosAngeles",1,6,34.0536909,-118.242766
"220","LosAngeles",462,"LosAngeles","Los Angeles",462,"Los Angeles",1,6,-8.4569081,-77.2970344
"221","Lublin",88,"Lublin","Dublin",88,"Dublin",1,14,51.2181945,22.5546775621452
"222","Lyon",286,"Lyon","Laon",286,"Laon",1,6,45.7578137,4.8320114
"223","Mensk",486,"Mensk","Minsk",486,"Minsk",1,1,53.9024716,27.5618225
"224","Meran",488,"Meran","Merano",488,"Merano",1,1,46.6695547,11.1594185
"225","Merano",488,"Merano","Meran",488,"Meran",1,1,46.6695547,11.1594185
"226","Mexico",491,"Mexico","México",491,"Mexico",1,1,23.6585116,-102.0077097
"227","México",491,"Mexico","Mexico",491,"Mexico",1,53,23.6585116,-102.0077097
"228","Minsk",486,"Minsk","Mensk",486,"Mensk",1,48,53.9024716,27.5618225
"229","Moskv",500,"Moskv","Moskva",500,"Moskva",1,1,55.7504461,37.6174943
"230","Moskva",500,"Moskva","Moskv",500,"Moskv",1,785,55.7504461,37.6174943
"231","Moskva",500,"Moskva","Moskwa",500,"Moskwa",1,785,55.7504461,37.6174943
"232","Moskwa",500,"Moskwa","Moskva",500,"Moskva",1,1,55.7504461,37.6174943
"233","Naī Dillī",516,"Nai Dilli","Nayī Dillī",516,"Nayi Dilli",1,5,28.6138954,77.2090057
"234","Nan jing",518,"Nan jing","Nan ning",518,"Nan ning",1,20,32.0615652,118.7915079
"235","Nan jing",518,"Nan jing","Nanjing",518,"Nanjing",1,20,32.0615652,118.7915079
"236","Nan jing shi",518,"Nan jing shi","Nan jing Shi",518,"Nan jing Shi",1,2,32.0615652,118.7915079
"237","Nan jing Shi",518,"Nan jing Shi","Nan jing shi",518,"Nan jing shi",1,2,32.0615652,118.7915079
"238","Nan ning",518,"Nan ning","Nan jing",518,"Nan jing",1,2,22.8193063,108.3627211
"239","Nanjing",518,"Nanjing","Nan jing",518,"Nan jing",1,11,32.0615652,118.7915079
"240","Nayī Dillī",516,"Nayi Dilli","Naī Dillī",516,"Nai Dilli",1,3,12.9166951,77.6731828
"241","Palencia",571,"Palencia","Valencia",571,"Valencia",1,2,42.4096322,-4.61610041029307
"242","Palma",570,"Palma","Parma",570,"Parma",1,12,39.5695818,2.6500745
"243","Parma",570,"Parma","Palma",570,"Palma",1,43,44.8013678,10.3280833
"244","Piteşti",589,"Pitesti","Pitești",589,"Pitesti",1,19,44.8572343,24.8719422
"245","Pitești",589,"Pitesti","Piteşti",589,"Pitesti",1,1,44.8572343,24.8719422
"246","Porto",597,"Porto","Pôrto",588,"Porto",1,41,41.1494512,-8.6107884
"247","Pôrto",588,"Porto","Porto",597,"Porto",1,1,41.1494512,-8.6107884
"248","Poznan",594,"Poznan","Poznań",594,"Poznan",1,3,52.4006632,16.9197325917809
"249","Poznań",594,"Poznan","Poznan",594,"Poznan",1,126,52.4006632,16.9197325917809
"250","Pozuelo de Alarcon",573,"Pozuelo de Alarcon","Pozuelo de Alarcón",573,"Pozuelo de Alarcon",1,1,40.4346528,-3.814834
"251","Pozuelo de Alarcón",573,"Pozuelo de Alarcon","Pozuelo de Alarcon",573,"Pozuelo de Alarcon",1,6,40.4346528,-3.814834
"252","Prishtine",602,"Prishtine","Prishtinë",602,"Prishtine",1,2,42.6638771,21.1640849
"253","Prishtinë",602,"Prishtine","Prishtine",602,"Prishtine",1,4,42.6638771,21.1640849
"254","Prudnik",604,"Prudnik","Prudník",604,"Prudnik",1,1,50.3217212,17.5801041
"255","Prudník",604,"Prudnik","Prudnik",604,"Prudnik",1,1,50.3217212,17.5801041
"256","Pula",605,"Pula","Tula",270,"Tula",1,1,44.8702281,13.8455311
