"","author","count"
"398","Kracht, Christian",21
"399","Krane, Anna von",2
"400","Kraus, Karl",16
"401","Krausser, Helmut",18
"402","Kremser, Stefanie",2
"403","Kricheldorf, Rebekka",2
"404","Krien, Daniela",13
"405","Krolow, Karl",6
"406","Krötz, Melanie",2
"407","Krügel, Mareike",10
"408","Krüger, Michael",27
"409","Kubelka, Susanna",9
"410","Kuckart, Judith",4
"411","Kuhn, Krystyna",3
"412","Kumpfmüller, Michael",21
"413","Kunert, Günter",6
"414","Kunze, Reiner",14
"415","Kurbjuweit, Dirk",10
"416","Kürthy, Ildikó von",23
"417","Kutscher, Volker",23
"418","Kuttner, Sarah",5
"419","Kyber, Manfred",2
"420","Laher, Ludwig",3
"421","Lahtela, Silvo",2
"422","Lakotta, Consilia Maria",2
"423","Lambeck, Silke",2
"424","Landorff, Max",3
"425","Lange-Müller, Katja",11
"426","Lange, Hartmut",7
"427","Langer, Tanja",4
"428","Lark, Sarah",28
"429","Lasker-Schüler, Else",26
"430","Lavant, Christine",5
"431","Le Fort, Gertrud von",12
"432","Lebert, Benjamin",9
"433","Lechleitner, Norbert",4
"434","Leeb, Root",2
"435","Lehnhoff, Joachim",2
"436","Leky, Mariana",10
"437","Lenau, Nikolaus",5
"438","Lenz, Hermann",2
"439","Lenz, Jakob Michael Reinhold",5
"440","Lenz, Pedro",5
"441","Lenz, Siegfried",53
"442","Lerche, Doris",2
"443","Lernet-Holenia, Alexander",11
"444","Lessing, Gotthold Ephraim",32
"445","Leutenegger, Gertrud",4
"446","Lewinsky, Charles",14
"447","Lewitscharoff, Sibylle",14
"448","Lichtenberg, Georg Christoph",9
"449","Lind, Hera",11
"450","Lindemann, Till",6
"451","Lindström, Inga",4
"452","Link, Charlotte",40
"453","Ljubić, Nicol",7
"454","Loest, Erich",4
"455","Loetscher, Hugo",18
"456","Loher, Dea",5
"457","Löhle, Philipp",2
"458","Löhnig, Inge",5
"459","Löhr, Robert",21
"460","Loidolt, Gabriel",3
"461","Löns, Hermann",1
"462","Lorentz, Iny",11
"463","Lorenz, Wiebke",5
"464","Loth, Sebastian",1
"465","Löwenberg, Nele",2
"466","Lubomirski, Karl",10
"467","Lucas, Charlotte",14
"468","Lüscher, Jonas",13
"469","Magnusson, Kristof",5
"470","Maier, Andreas",14
"471","Maier, Anja",2
"472","Mancini, Claudio Michele",2
"473","Mania, Hubert",2
"474","Mann, Heinrich",24
"475","Mann, Klaus",32
"476","Mann, Thomas",95
"477","Marlitt, E.",6
"478","Marlowe, Emma",2
"479","Maron, Monika",23
"480","Marti, Kurt",9
"481","Martini, Manuela",2
"482","Marx-Lindner, Lo",1
"483","May, Karl",45
"484","Mayer, Anna-Elisabeth",3
"485","Mayröcker, Friederike",27
"486","McClean, Katrin",3
"487","Mechtel, Angelika",2
"488","Meckel, Christoph",11
"489","Meerbaum-Eisinger, Selma",3
"490","Mehr, Mariella",6
"491","Meier, Gerhard",5
"492","Meister, Ernst",8
"493","Melle, Thomas",4
"494","Menasse, Eva",13
"495","Menasse, Robert",29
"496","Mercier, Pascal",34
"497","Merz, Klaus",11
"498","Meyer, Conrad Ferdinand",10
"499","Meyer, E. Y.",3
"500","Meyer, Kai",21
"501","Meyerhoff, Joachim",8
"502","Meyrink, Gustav",35
"503","Micieli, Francesco",1
"504","Mielke, Thomas R. P.",6
"505","Mitgutsch, Anna",8
"506","Mitterer, Felix",11
"507","Modick, Klaus",8
"508","Moers, Walter",25
"509","Mohnnau, Ralph Günther",4
"510","Moníková, Libuše",10
"511","Mora, Terézia",21
"512","Morgenstern, Christian",12
"513","Mörike, Eduard",21
"514","Morsbach, Petra",3
"515","Mosebach, Martin",9
"516","Moser, Milena",11
"517","Mozart, Wolfgang Amadeus",3
"518","Mühle, Jörg",2
"519","Mühsam, Erich",4
"520","Müller-Nienstedt, Irma",2
"521","Müller, Armin",3
"522","Müller, Heiner",28
"523","Müller, Herta",60
"524","Müller, Wilhelm",6
"525","Mulot, Sibylle",4
"526","Muschg, Adolf",12
"527","Musil, Robert",61
"528","Nadj Abonji, Melinda",10
"529","Nadolny, Sten",25
"530","Nendza, Jürgen",2
"531","Nestroy, Johann",4
"532","Neuhaus, Nele",37
"533","Niedlich, Sebastian",2
"534","Nietzsche, Friedrich",43
"535","Noll, Ingrid",27
"536","Nossack, Hans Erich",4
"537","Novalis",39
"538","Oelker, Petra",3
"539","Ohnemus, Günter",4
"540","Oleschinski, Brigitte",3
"541","Olsberg, Karl",7
"542","Oppenheim, Meret",3
"543","Ortheil, Hanns-Josef",12
"544","Orths, Markus",15
"545","Oster, Jutta",2
"546","Ostermaier, Albert",4
"547","Özdamar, Emine Sevgi",22
"548","Özdogan, Selim",3
"549","Palmer, Lilli",4
"550","Parei, Inka",11
"551","Paretti, Sandra",9
"552","Paura, Martina",4
"553","Pausewang, Gudrun",4
"554","Peetz, Monika",25
"555","Pehnt, Annette",3
"556","Peinkofer, Michael",18
"557","Peltzer, Ulrich",6
"558","Perutz, Leo",27
"559","Pestum, Jo",2
"560","Peters, Christoph",6
"561","Peters, Pauline",5
"562","Petersen, Jens",2
"563","Petrowskaja, Katja",18
"564","Pfaus, Walter G.",2
"565","Pietraß, Richard",4
"566","Plenzdorf, Ulrich",6
"567","Plievier, Theodor",2
"568","Poethen, Johannes",4
"569","Polgar, Alfred",3
"570","Pollack, Martin",4
"571","Poschmann, Marion",13
"572","Pötzsch, Oliver",23
"573","Poznanski, Ursula",18
"574","Prange, Peter",18
"575","Preußler, Otfried",3
"576","Prokop, Gert",2
"577","Raabe, Marc",8
"578","Raabe, Melanie",22
"579","Raabe, Wilhelm",5
"580","Rachowski, Utz",1
"581","Rademacher, Cay",8
"582","Raeber, Kuno",5
"583","Raimund, Hans",3
"584","Rakusa, Ilma",11
"585","Rammstedt, Tilman",9
"586","Ransmayr, Christoph",38
"587","Rath, Hans",5
"588","Regener, Sven",15
"589","Reider, Katja",15
"590","Reimer, Johannes",3
"591","Reinehr, Wilfried",2
"592","Remarque, Erich Maria",59
"593","Rezzori, Gregor von",17
"594","Rilke, Rainer Maria",139
"595","Rimpau, Cornelia",1
"596","Rinck, Monika",3
